Tanggal WIB	Jam WIB	BTC Open	BTC High	BTC Low	BTC Close	Posisi	Lot BTC	Pending Reverse	Qty Pending	Action	Saldo Realized	Equity MTM
2018-11-12	10:00	6473,86	6478,44	6452,26	6455,25	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,6662
2018-11-12	11:00	6455,46	6464	6452,26	6454,34	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,6647
2018-11-12	12:00	6454,56	6462	6449,57	6461,51	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,6766
2018-11-12	13:00	6460,02	6463,99	6438	6450	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,6574
2018-11-12	14:00	6449,81	6455,14	6442,24	6447,29	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,6529
2018-11-12	15:00	6447,29	6455,14	6432,7	6450,62	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,6584
2018-11-12	16:00	6450,57	6450,62	6440,67	6442,81	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,6454
2018-11-12	17:00	6440,76	6447,39	6433	6439,26	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,6395
2018-11-12	18:00	6439,01	6452,2	6433,97	6439,28	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,6395
2018-11-12	19:00	6439,28	6451,97	6439,14	6447,17	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,6527
2018-11-12	20:00	6446,32	6468,49	6445,08	6468,49	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,6883
2018-11-12	21:00	6468,2	6483,93	6456,41	6456,67	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,6685
2018-11-12	22:00	6457,24	6467,07	6442,68	6452,12	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,661
2018-11-12	23:00	6452,12	6454,9	6445	6447,38	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,653
2018-11-13	00:00	6445,67	6452,5	6438,79	6447,45	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,6532
2018-11-13	01:00	6448,05	6450,44	6438,83	6439,03	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,6391
2018-11-13	02:00	6440,5	6464,01	6436	6458,64	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,6718
2018-11-13	03:00	6458,64	6461,47	6451,47	6455,48	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,6666
2018-11-13	04:00	6456	6458,97	6425,06	6437,55	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,6366
2018-11-13	05:00	6437,55	6452,71	6421	6451,16	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,6593
2018-11-13	06:00	6451,16	6458,91	6440,99	6453,07	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,6625
2018-11-13	07:00	6451,68	6455,99	6430	6443,32	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,6463
2018-11-13	08:00	6443,52	6445,5	6407	6422,07	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,6108
2018-11-13	09:00	6421,01	6442,75	6391,15	6440	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,6407
2018-11-13	10:00	6440,04	6472	6436,5	6443,01	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,6457
2018-11-13	11:00	6446,07	6467,06	6442,16	6458,38	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,6714
2018-11-13	12:00	6460,27	6468	6450	6463,64	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,6802
2018-11-13	13:00	6463,43	6473,63	6456,06	6458,48	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,6716
2018-11-13	14:00	6456,2	6463,47	6437,59	6460,48	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,6749
2018-11-13	15:00	6462,03	6464	6426,53	6444,01	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,6474
2018-11-13	16:00	6441,96	6450	6431,43	6441,39	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,643
2018-11-13	17:00	6441,19	6448,41	6439,01	6446,98	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,6524
2018-11-13	18:00	6446,98	6469	6441,82	6443,24	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,6461
2018-11-13	19:00	6446,35	6461,93	6445,42	6453,58	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,6634
2018-11-13	20:00	6453,58	6472	6441,81	6451,1	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,6592
2018-11-13	21:00	6451,1	6453,38	6438,98	6448,93	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,6556
